datetime,open,high,low,close,tick_volume
2021-03-25 01:00:00,1.36971,1.37084,1.36795,1.36986,3214
2021-03-25 05:00:00,1.36986,1.37044,1.36706,1.36834,5054
2021-03-25 09:00:00,1.36834,1.3731,1.36787,1.37079,7367
2021-03-25 13:00:00,1.37079,1.37414,1.3706,1.37323,10543
2021-03-25 17:00:00,1.37323,1.37456,1.37248,1.37339,4899
2021-03-25 21:00:00,1.37339,1.37578,1.37308,1.37504,1610
2021-03-26 01:00:00,1.37504,1.37657,1.37465,1.37585,1872
2021-03-26 05:00:00,1.37585,1.37863,1.37423,1.37686,4631
2021-03-26 09:00:00,1.37686,1.37916,1.37514,1.37674,5848
2021-03-26 13:00:00,1.37674,1.38124,1.37666,1.37888,7971
2021-03-26 17:00:00,1.37888,1.37998,1.37762,1.37925,4274
2021-03-28 21:00:00,1.37925,1.38059,1.3771,1.37748,1537
2021-03-29 01:00:00,1.37748,1.37898,1.37658,1.37731,2242
2021-03-29 05:00:00,1.37731,1.38372,1.37566,1.381,7511
2021-03-29 09:00:00,1.381,1.38468,1.38077,1.38227,6933
2021-03-29 13:00:00,1.38227,1.38378,1.37648,1.37778,9566
2021-03-29 17:00:00,1.37778,1.37816,1.37556,1.37624,3171
2021-03-29 21:00:00,1.37624,1.37763,1.3759,1.37688,1248
2021-03-30 01:00:00,1.37688,1.37814,1.37602,1.37812,2098
2021-03-30 05:00:00,1.37812,1.37836,1.37422,1.37726,6983
2021-03-30 09:00:00,1.37726,1.37792,1.37301,1.3739,7595
2021-03-30 13:00:00,1.3739,1.37548,1.37062,1.37187,8909
2021-03-30 17:00:00,1.37187,1.37425,1.37135,1.37411,2553
2021-03-30 21:00:00,1.37411,1.37522,1.37344,1.37432,2158
2021-03-31 01:00:00,1.37432,1.3746,1.37186,1.37265,2431
2021-03-31 05:00:00,1.37265,1.37834,1.37166,1.37828,6235
2021-03-31 09:00:00,1.37828,1.3795,1.37546,1.37678,6747
2021-03-31 13:00:00,1.37678,1.38118,1.37595,1.38002,10004
2021-03-31 17:00:00,1.38002,1.38086,1.37766,1.37828,3423
2021-03-31 21:00:00,1.37828,1.37902,1.37747,1.37886,1976
