datetime,open,high,low,close,tick_volume
2021-03-25 01:00:00,0.76032,0.76139,0.75866,0.75978,1813
2021-03-25 05:00:00,0.75978,0.76062,0.75834,0.76018,2051
2021-03-25 09:00:00,0.76018,0.76129,0.75816,0.75908,2496
2021-03-25 13:00:00,0.75908,0.76046,0.75632,0.75786,4433
2021-03-25 17:00:00,0.75786,0.75864,0.75717,0.75804,2475
2021-03-25 21:00:00,0.75804,0.75999,0.75774,0.75924,988
2021-03-26 01:00:00,0.75924,0.76146,0.75886,0.76126,1439
2021-03-26 05:00:00,0.76126,0.76268,0.76126,0.76198,1816
2021-03-26 09:00:00,0.76198,0.76233,0.76066,0.76164,1917
2021-03-26 13:00:00,0.76164,0.76378,0.76158,0.76296,2623
2021-03-26 17:00:00,0.76296,0.76448,0.76152,0.76357,1653
2021-03-28 21:00:00,0.76357,0.76609,0.76208,0.76234,1252
2021-03-29 01:00:00,0.76234,0.7645,0.76211,0.76306,1418
2021-03-29 05:00:00,0.76306,0.76468,0.7615,0.76286,2244
2021-03-29 09:00:00,0.76286,0.76556,0.76286,0.76454,1734
2021-03-29 13:00:00,0.76454,0.76472,0.76249,0.76418,3020
2021-03-29 17:00:00,0.76418,0.76453,0.76288,0.76331,1105
2021-03-29 21:00:00,0.76331,0.76412,0.76296,0.76353,683
2021-03-30 01:00:00,0.76353,0.76639,0.76316,0.76516,1309
2021-03-30 05:00:00,0.76516,0.76551,0.76252,0.76364,2193
2021-03-30 09:00:00,0.76364,0.76394,0.7601,0.76086,2594
2021-03-30 13:00:00,0.76086,0.76225,0.7589,0.75934,3647
2021-03-30 17:00:00,0.75934,0.75978,0.75852,0.75972,896
2021-03-30 21:00:00,0.75972,0.76191,0.75913,0.76088,890
2021-03-31 01:00:00,0.76088,0.76162,0.75958,0.76008,1308
2021-03-31 05:00:00,0.76008,0.76205,0.75884,0.76202,2041
2021-03-31 09:00:00,0.76202,0.76226,0.76054,0.76084,1633
2021-03-31 13:00:00,0.76084,0.76366,0.76026,0.76168,3190
2021-03-31 17:00:00,0.76168,0.76181,0.759,0.75964,910
2021-03-31 21:00:00,0.75964,0.76005,0.7579,0.75911,1171
2021-04-01 01:00:00,0.75911,0.75928,0.75404,0.75439,1896
2021-04-01 05:00:00,0.75439,0.75747,0.75321,0.75581,2751
2021-04-01 09:00:00,0.75581,0.75866,0.75568,0.75852,2150
2021-04-01 13:00:00,0.75852,0.76152,0.75852,0.76072,2698
2021-04-01 17:00:00,0.76072,0.76198,0.76072,0.76172,801
2021-04-01 21:00:00,0.76172,0.76344,0.76151,0.76284,480
2021-04-02 01:00:00,0.76284,0.76376,0.7627,0.76306,456
2021-04-02 05:00:00,0.76306,0.76338,0.76132,0.76132,582
2021-04-02 09:00:00,0.76132,0.76296,0.76017,0.76136,1292
2021-04-02 13:00:00,0.76136,0.76158,0.75988,0.7603,753
2021-04-02 17:00:00,0.7603,0.76153,0.7595,0.76092,1196
2021-04-04 21:00:00,0.76092,0.7623,0.76045,0.76206,1145
2021-04-05 01:00:00,0.76206,0.76252,0.76128,0.76128,777
2021-04-05 05:00:00,0.76128,0.76254,0.75987,0.76235,1037
2021-04-05 09:00:00,0.76235,0.76392,0.76168,0.7636,1135
2021-04-05 13:00:00,0.7636,0.76605,0.76328,0.76551,1839
2021-04-05 17:00:00,0.76551,0.76556,0.7649,0.76518,531
2021-04-05 21:00:00,0.76518,0.76608,0.76476,0.76548,648
2021-04-06 01:00:00,0.76548,0.76594,0.76308,0.76388,1286
2021-04-06 05:00:00,0.76388,0.76561,0.76196,0.76277,1926
2021-04-06 09:00:00,0.76277,0.76428,0.76058,0.76366,1951
2021-04-06 13:00:00,0.76366,0.76634,0.76318,0.76618,2218
2021-04-06 17:00:00,0.76618,0.76683,0.76504,0.7664,833
2021-04-06 21:00:00,0.7664,0.76728,0.76568,0.76704,843
2021-04-07 01:00:00,0.76704,0.76772,0.76504,0.7656,1396
2021-04-07 05:00:00,0.7656,0.76632,0.7621,0.76364,2352
2021-04-07 09:00:00,0.76364,0.76382,0.76148,0.76171,2208
2021-04-07 13:00:00,0.76171,0.76458,0.76125,0.76182,2750
2021-04-07 17:00:00,0.76182,0.7622,0.76008,0.76132,1172
