datetime,open,high,low,close,tick_volume
2021-03-25 01:00:00,1.18177,1.18278,1.18042,1.18207,9040
2021-03-25 05:00:00,1.18207,1.18262,1.18014,1.18051,14688
2021-03-25 09:00:00,1.18051,1.18182,1.17912,1.17974,18887
2021-03-25 13:00:00,1.17974,1.18156,1.17626,1.17628,29987
2021-03-25 17:00:00,1.17628,1.17819,1.17618,1.17644,15767
2021-03-25 21:00:00,1.17644,1.17839,1.17644,1.17821,3703
2021-03-26 01:00:00,1.17821,1.17848,1.17747,1.17766,4753
2021-03-26 05:00:00,1.17766,1.17893,1.17752,1.17875,11155
2021-03-26 09:00:00,1.17875,1.17972,1.17718,1.17762,15885
2021-03-26 13:00:00,1.17762,1.1805,1.17761,1.17988,22670
2021-03-26 17:00:00,1.17988,1.18002,1.17843,1.17941,10782
2021-03-28 21:00:00,1.17941,1.17944,1.17778,1.17806,3048
2021-03-29 01:00:00,1.17806,1.17911,1.17751,1.17789,5261
2021-03-29 05:00:00,1.17789,1.17938,1.1763,1.17666,17392
2021-03-29 09:00:00,1.17666,1.17886,1.17646,1.17856,17452
2021-03-29 13:00:00,1.17856,1.17928,1.17606,1.17737,23298
2021-03-29 17:00:00,1.17737,1.17784,1.1763,1.1765,8777
2021-03-29 21:00:00,1.1765,1.17758,1.1764,1.17704,2501
2021-03-30 01:00:00,1.17704,1.17738,1.17601,1.17642,5090
2021-03-30 05:00:00,1.17642,1.17656,1.1733,1.17464,17511
2021-03-30 09:00:00,1.17464,1.17498,1.17273,1.17314,17714
2021-03-30 13:00:00,1.17314,1.17376,1.17114,1.17185,22998
2021-03-30 17:00:00,1.17185,1.17232,1.17139,1.17158,5623
2021-03-30 21:00:00,1.17158,1.17261,1.17151,1.17226,2918
2021-03-31 01:00:00,1.17226,1.17241,1.17042,1.17077,5803
2021-03-31 05:00:00,1.17077,1.17481,1.17048,1.17464,16485
2021-03-31 09:00:00,1.17464,1.17464,1.17212,1.17256,16044
2021-03-31 13:00:00,1.17256,1.176,1.17211,1.175,23648
2021-03-31 17:00:00,1.175,1.17554,1.17196,1.17308,10221
2021-03-31 21:00:00,1.17308,1.17323,1.17211,1.17293,4047
2021-04-01 01:00:00,1.17293,1.1733,1.17145,1.17158,6528
2021-04-01 05:00:00,1.17158,1.17446,1.17126,1.17278,16300
2021-04-01 09:00:00,1.17278,1.17539,1.17243,1.17453,15395
2021-04-01 13:00:00,1.17453,1.178,1.1739,1.17732,22727
2021-04-01 17:00:00,1.17732,1.17787,1.17668,1.17774,7236
2021-04-01 21:00:00,1.17774,1.17842,1.17703,1.17716,2091
2021-04-02 01:00:00,1.17716,1.17814,1.17693,1.1778,4305
2021-04-02 05:00:00,1.1778,1.17868,1.17696,1.17822,4985
2021-04-02 09:00:00,1.17822,1.17862,1.17575,1.17688,7029
2021-04-02 13:00:00,1.17688,1.1769,1.17494,1.17612,7176
2021-04-02 17:00:00,1.17612,1.17662,1.17581,1.17602,1175
2021-04-04 21:00:00,1.17602,1.17681,1.17558,1.17651,3427
2021-04-05 01:00:00,1.17651,1.1772,1.1759,1.17591,3082
2021-04-05 05:00:00,1.17591,1.17608,1.17408,1.17474,6965
2021-04-05 09:00:00,1.17474,1.1781,1.17376,1.1779,8879
2021-04-05 13:00:00,1.1779,1.18167,1.17781,1.18161,13710
2021-04-05 17:00:00,1.18161,1.18196,1.18078,1.18123,4339
2021-04-05 21:00:00,1.18123,1.18217,1.18118,1.1814,1803
2021-04-06 01:00:00,1.1814,1.18172,1.17998,1.18056,6691
2021-04-06 05:00:00,1.18056,1.1821,1.1795,1.18138,15413
2021-04-06 09:00:00,1.18138,1.18334,1.18024,1.18288,17856
2021-04-06 13:00:00,1.18288,1.1856,1.18262,1.18556,15721
2021-04-06 17:00:00,1.18556,1.18778,1.18521,1.18765,7376
2021-04-06 21:00:00,1.18765,1.18788,1.18686,1.18724,2632
2021-04-07 01:00:00,1.18724,1.1878,1.18656,1.18708,6352
2021-04-07 05:00:00,1.18708,1.18875,1.1864,1.18862,17542
2021-04-07 09:00:00,1.18862,1.18984,1.1877,1.18848,18535
2021-04-07 13:00:00,1.18848,1.19149,1.18818,1.18823,21581
2021-04-07 17:00:00,1.18823,1.18869,1.18608,1.18718,8368
2021-04-07 21:00:00,1.18718,1.18741,1.18656,1.18666,2406
2021-04-08 01:00:00,1.18666,1.1874,1.18608,1.18728,5086
2021-04-08 05:00:00,1.18728,1.18932,1.18673,1.18814,13100
2021-04-08 09:00:00,1.18814,1.1895,1.18618,1.18927,16547
2021-04-08 13:00:00,1.18927,1.19275,1.18836,1.19216,22154
2021-04-08 17:00:00,1.19216,1.19232,1.1912,1.19154,6063
2021-04-08 21:00:00,1.19154,1.19202,1.19107,1.19192,2559
2021-04-09 01:00:00,1.19192,1.19202,1.1903,1.19042,5124
2021-04-09 05:00:00,1.19042,1.19044,1.18838,1.18858,16244
2021-04-09 09:00:00,1.18858,1.19004,1.18671,1.18761,17093
2021-04-09 13:00:00,1.18761,1.19034,1.18706,1.19002,17963
2021-04-09 17:00:00,1.19002,1.19106,1.1899,1.18998,5679
2021-04-11 21:00:00,1.18998,1.19042,1.18905,1.18976,3324
2021-04-12 01:00:00,1.18976,1.18988,1.18856,1.18882,7866
2021-04-12 05:00:00,1.18882,1.18943,1.18712,1.18839,13449
2021-04-12 09:00:00,1.18839,1.19184,1.18838,1.19142,15150
2021-04-12 13:00:00,1.19142,1.19192,1.19036,1.19159,15895
2021-04-12 17:00:00,1.19159,1.19174,1.1899,1.19114,5969
2021-04-12 21:00:00,1.19114,1.1916,1.19023,1.19042,3037
2021-04-13 01:00:00,1.19042,1.19046,1.1886,1.18874,7176
2021-04-13 05:00:00,1.18874,1.19089,1.18828,1.19011,15321
2021-04-13 09:00:00,1.19011,1.19346,1.1878,1.19244,27624
2021-04-13 13:00:00,1.19244,1.19436,1.19232,1.1938,21071
2021-04-13 17:00:00,1.1938,1.1956,1.19379,1.19486,8911
2021-04-13 21:00:00,1.19486,1.19585,1.19476,1.19544,3196
2021-04-14 01:00:00,1.19544,1.19642,1.19526,1.19628,7173
2021-04-14 05:00:00,1.19628,1.1974,1.1955,1.19668,15951
2021-04-14 09:00:00,1.19668,1.19696,1.19511,1.19638,14215
