datetime,open,high,low,close,tick_volume
2023-01-02 23:00:00,1782.052,1807.517,1782.052,1792.358,305
2023-01-03 00:00:00,1792.358,1793.601,1775.706,1779.436,220
2023-01-03 01:00:00,1779.436,1780.43,1765.766,1770.242,518
2023-01-03 02:00:00,1770.242,1786.156,1770.242,1784.418,243
2023-01-03 03:00:00,1784.418,1790.388,1784.418,1790.14,625
2023-01-03 04:00:00,1790.14,1792.879,1788.898,1790.891,340
2023-01-03 05:00:00,1790.891,1793.378,1779.955,1789.901,294
2023-01-03 06:00:00,1789.901,1791.146,1783.192,1786.426,356
2023-01-03 07:00:00,1786.426,1793.638,1775.986,1793.392,633
2023-01-03 08:00:00,1793.392,1794.634,1776.489,1782.21,654
2023-01-03 09:00:00,1782.21,1802.348,1781.464,1796.633,698
2023-01-03 10:00:00,1796.633,1797.379,1780.476,1781.224,1053
2023-01-03 11:00:00,1781.224,1783.465,1775.756,1776.506,419
2023-01-03 12:00:00,1776.506,1781.73,1775.513,1781.234,407
2023-01-03 13:00:00,1781.234,1790.188,1777.758,1786.46,606
2023-01-03 14:00:00,1786.46,1789.944,1772.292,1785.222,1027
2023-01-03 15:00:00,1785.222,1788.702,1752.659,1752.659,2365
2023-01-03 16:00:00,1752.659,1755.146,1702.196,1711.894,1258
2023-01-03 17:00:00,1711.894,1715.126,1667.646,1686.789,1119
2023-01-03 18:00:00,1686.789,1696.487,1682.562,1691.268,726
2023-01-03 19:00:00,1691.268,1693.012,1686.051,1688.787,2798
2023-01-03 20:00:00,1688.787,1704.948,1688.538,1701.222,442
2023-01-03 21:00:00,1701.222,1702.465,1695.257,1697.497,445
2023-01-03 23:00:00,1697.497,1715.9,1693.027,1714.909,202
2023-01-04 00:00:00,1714.909,1720.379,1714.66,1718.394,305
2023-01-04 01:00:00,1718.394,1723.123,1713.672,1723.123,388
2023-01-04 02:00:00,1723.123,1723.868,1718.402,1722.134,474
2023-01-04 03:00:00,1722.134,1733.822,1720.89,1731.584,503
2023-01-04 04:00:00,1731.584,1734.076,1729.845,1733.828,262
2023-01-04 05:00:00,1733.828,1736.066,1727.367,1727.866,279
2023-01-04 06:00:00,1727.866,1735.325,1721.406,1730.356,480
2023-01-04 07:00:00,1730.356,1736.326,1728.617,1729.864,562
2023-01-04 08:00:00,1729.864,1730.858,1712.959,1726.636,832
2023-01-04 09:00:00,1726.636,1726.636,1710.726,1711.973,1230
2023-01-04 10:00:00,1711.973,1732.86,1704.267,1719.436,638
2023-01-04 11:00:00,1719.436,1725.405,1713.967,1718.943,231
2023-01-04 12:00:00,1718.943,1720.686,1707.758,1711.987,467
2023-01-04 13:00:00,1711.987,1734.614,1698.812,1728.152,1826
2023-01-04 14:00:00,1728.152,1737.851,1721.938,1737.106,2236
2023-01-04 15:00:00,1737.106,1766.697,1719.456,1766.2,1647
2023-01-04 16:00:00,1766.2,1788.58,1763.216,1785.846,718
2023-01-04 17:00:00,1785.846,1795.544,1775.16,1786.1,1430
2023-01-04 18:00:00,1786.1,1786.348,1772.428,1777.402,646
2023-01-04 19:00:00,1777.402,1795.804,1768.702,1788.098,926
2023-01-04 20:00:00,1788.098,1789.096,1781.887,1784.125,395
2023-01-04 21:00:00,1784.125,1786.118,1779.654,1781.644,310
2023-01-04 23:00:00,1781.644,1784.632,1780.161,1782.15,309
2023-01-05 00:00:00,1782.15,1782.897,1764.748,1772.708,176
2023-01-05 01:00:00,1772.708,1778.677,1772.708,1776.94,368
2023-01-05 02:00:00,1776.94,1776.94,1772.219,1772.966,216
2023-01-05 03:00:00,1772.966,1777.197,1767.996,1775.706,276
2023-01-05 04:00:00,1775.706,1781.926,1774.216,1777.452,345
2023-01-05 05:00:00,1777.452,1786.654,1777.203,1782.678,374
2023-01-05 06:00:00,1782.678,1788.646,1776.715,1776.964,281
2023-01-05 07:00:00,1776.964,1785.918,1771.748,1773.488,416
2023-01-05 08:00:00,1773.488,1779.704,1768.018,1776.228,549
2023-01-05 09:00:00,1776.228,1793.14,1768.026,1789.41,808
2023-01-05 10:00:00,1789.41,1816.764,1788.416,1807.814,570
2023-01-05 11:00:00,1807.814,1808.062,1795.137,1799.365,325
2023-01-05 12:00:00,1799.365,1808.072,1795.638,1807.576,469
2023-01-05 13:00:00,1807.576,1814.042,1776.998,1782.468,1361
2023-01-05 14:00:00,1782.468,1787.442,1773.268,1776.008,2258
2023-01-05 15:00:00,1776.008,1777.998,1741.948,1743.194,1448
2023-01-05 16:00:00,1743.194,1743.194,1718.829,1720.074,1712
2023-01-05 17:00:00,1720.074,1726.544,1713.114,1720.826,985
2023-01-05 18:00:00,1720.826,1738.73,1719.832,1730.278,877
2023-01-05 19:00:00,1730.278,1732.27,1726.052,1730.78,1029
2023-01-05 20:00:00,1730.78,1735.012,1730.283,1735.012,299
2023-01-05 21:00:00,1735.012,1735.762,1731.038,1731.038,335
2023-01-05 23:00:00,1731.038,1736.267,1728.81,1728.81,221
2023-01-06 00:00:00,1728.81,1734.036,1725.33,1733.29,147
2023-01-06 01:00:00,1733.29,1743.489,1733.29,1743.24,462
2023-01-06 02:00:00,1743.24,1743.742,1743.24,1743.742,242
2023-01-06 03:00:00,1743.742,1754.44,1743.246,1754.19,366
2023-01-06 04:00:00,1754.19,1756.93,1752.206,1752.206,92
2023-01-06 05:00:00,1752.206,1756.683,1749.224,1752.46,434
2023-01-06 06:00:00,1752.46,1754.95,1751.468,1753.21,216
2023-01-06 07:00:00,1753.21,1754.703,1742.522,1743.27,433
2023-01-06 08:00:00,1743.27,1746.253,1734.322,1735.317,512
2023-01-06 09:00:00,1735.317,1738.306,1729.6,1736.814,692
2023-01-06 10:00:00,1736.814,1740.298,1732.341,1738.311,464
2023-01-06 11:00:00,1738.311,1749.005,1735.328,1747.266,259
2023-01-06 12:00:00,1747.266,1747.516,1742.792,1745.531,550
2023-01-06 13:00:00,1745.531,1763.19,1725.392,1755.233,2333
2023-01-06 14:00:00,1755.233,1770.402,1745.042,1760.46,1517
2023-01-06 15:00:00,1760.46,1790.054,1760.46,1783.59,2579
2023-01-06 16:00:00,1783.59,1793.039,1775.632,1790.556,1297
2023-01-06 17:00:00,1790.556,1799.513,1784.59,1795.534,1119
2023-01-06 18:00:00,1795.534,1801.005,1793.547,1797.031,553
2023-01-06 19:00:00,1797.031,1805.489,1795.789,1798.777,814
2023-01-06 20:00:00,1798.777,1801.513,1788.09,1792.317,369
2023-01-06 21:00:00,1792.317,1800.03,1791.57,1797.792,198
2023-01-08 23:00:00,1797.792,1807.981,1797.792,1800.526,449
2023-01-09 00:00:00,1800.526,1801.023,1792.568,1798.541,3399
2023-01-09 01:00:00,1798.541,1806.752,1795.31,1804.514,1107
2023-01-09 02:00:00,1804.514,1809.493,1803.023,1809.244,644
2023-01-09 03:00:00,1809.244,1809.493,1806.261,1808.254,488
2023-01-09 04:00:00,1808.254,1812.238,1807.757,1810.248,173
2023-01-09 05:00:00,1810.248,1813.487,1809.752,1813.487,228
2023-01-09 06:00:00,1813.487,1815.23,1813.487,1813.988,405
2023-01-09 07:00:00,1813.988,1820.706,1811.506,1819.216,644
2023-01-09 08:00:00,1819.216,1830.164,1819.216,1825.439,471
2023-01-09 09:00:00,1825.439,1826.434,1810.274,1811.02,1077
