datetime,open,high,low,close,tick_volume
2021-03-25 01:00:00,2638.7,2649.1,2636.7,2643.7,104
2021-03-25 05:00:00,2643.7,2652,2638.7,2651.5,416
2021-03-25 09:00:00,2651.5,2657,2615.65,2631.25,1012
2021-03-25 13:00:00,2631.25,2654.75,2611.15,2623.8,1370
2021-03-25 17:00:00,2623.8,2627.7,2619.65,2623,419
2021-03-25 21:00:00,2623,2628.3,2621,2621,35
2021-03-26 01:00:00,2621,2635,2619.9,2630.45,218
2021-03-26 05:00:00,2630.45,2652.7,2630.25,2647,475
2021-03-26 09:00:00,2647,2650.8,2632.5,2640.75,591
2021-03-26 13:00:00,2640.75,2691.6,2639.15,2680.05,1558
2021-03-26 17:00:00,2680.05,2693.05,2669,2684.5,644
2021-03-28 21:00:00,2684.5,2689.75,2684.25,2688.45,188
2021-03-29 01:00:00,2688.45,2688.45,2672.5,2672.5,186
2021-03-29 05:00:00,2672.5,2682.3,2564.25,2618.25,1149
2021-03-29 09:00:00,2618.25,2632.7,2575.45,2577.25,756
2021-03-29 13:00:00,2577.25,2580.45,2521,2539,2017
2021-03-29 17:00:00,2539,2541.9,2524.6,2539.75,501
2021-03-29 21:00:00,2539.75,2542.75,2536.75,2536.75,49
2021-03-30 01:00:00,2536.75,2547.75,2528.5,2543.45,247
2021-03-30 05:00:00,2543.45,2565.1,2536.75,2556,519
2021-03-30 09:00:00,2556,2581,2528.1,2566.5,1170
2021-03-30 13:00:00,2566.5,2609.5,2554.1,2578.5,1538
2021-03-30 17:00:00,2578.5,2588.65,2571.5,2587.25,306
2021-03-30 21:00:00,2587.25,2608.95,2584.6,2606.25,263
2021-03-31 01:00:00,2606.25,2609.95,2601.85,2605.75,252
2021-03-31 05:00:00,2605.75,2631.25,2605.75,2625.75,302
2021-03-31 09:00:00,2625.75,2628.75,2618.8,2628.75,406
2021-03-31 13:00:00,2628.75,2632,2602.45,2626,1256
2021-03-31 17:00:00,2626,2631.9,2620.75,2627.5,244
2021-03-31 21:00:00,2627.5,2627.75,2620.75,2620.75,31
2021-04-01 01:00:00,2620.75,2625.35,2620.25,2625.35,108
2021-04-01 05:00:00,2625.35,2636,2622,2633.25,299
2021-04-01 09:00:00,2633.25,2639.2,2618,2631.85,557
2021-04-01 13:00:00,2631.85,2674.2,2631.85,2663.7,1298
2021-04-01 17:00:00,2663.7,2676.5,2653.5,2671.25,583
2021-04-04 21:00:00,2671.25,2674.5,2666.75,2672.75,135
2021-04-05 01:00:00,2672.75,2672.75,2647.4,2652,332
2021-04-05 05:00:00,2652,2658.5,2633.75,2642.25,415
2021-04-05 09:00:00,2642.25,2668.5,2627.5,2655.4,535
2021-04-05 13:00:00,2655.4,2677.25,2647.25,2664.5,1972
2021-04-05 17:00:00,2664.5,2673.25,2659.4,2667,493
2021-04-05 21:00:00,2667,2671,2656.6,2660.25,153
2021-04-06 01:00:00,2660.25,2662.75,2655.7,2655.75,166
2021-04-06 05:00:00,2655.75,2683.75,2651.5,2678.45,717
2021-04-06 09:00:00,2678.45,2701.9,2674.25,2698.7,711
2021-04-06 13:00:00,2698.7,2703.65,2667.15,2695,1621
2021-04-06 17:00:00,2695,2697,2674.25,2688.25,730
2021-04-06 21:00:00,2688.25,2688.25,2677.7,2678.25,63
2021-04-07 01:00:00,2678.25,2689.25,2674,2676.5,211
2021-04-07 05:00:00,2676.5,2689.25,2630.8,2642.75,847
2021-04-07 09:00:00,2642.75,2653.85,2588.5,2632.95,1342
2021-04-07 13:00:00,2632.95,2646.25,2614.5,2625.7,1591
2021-04-07 17:00:00,2625.7,2633.25,2621.55,2627.5,397
2021-04-07 21:00:00,2627.5,2627.5,2614.75,2619.75,164
2021-04-08 01:00:00,2619.75,2629.65,2617.25,2628.05,89
2021-04-08 05:00:00,2628.05,2636.2,2619.1,2619.25,458
2021-04-08 09:00:00,2619.25,2636,2618.7,2630.75,553
2021-04-08 13:00:00,2630.75,2654.25,2630.5,2631.3,1563
2021-04-08 17:00:00,2631.3,2638,2630,2633.25,868
2021-04-08 21:00:00,2633.25,2633.25,2624.75,2629.5,152
2021-04-09 01:00:00,2629.5,2636,2625.75,2633.75,265
2021-04-09 05:00:00,2633.75,2639.05,2622.25,2631.75,671
2021-04-09 09:00:00,2631.75,2644.7,2627.25,2644.7,797
2021-04-09 13:00:00,2644.7,2651.8,2634.8,2641.15,1246
2021-04-09 17:00:00,2641.15,2649,2639.05,2639.95,911
2021-04-11 21:00:00,2639.95,2644.25,2636.5,2637,96
2021-04-12 01:00:00,2637,2638,2635.25,2635.5,144
2021-04-12 05:00:00,2635.5,2648.2,2631.25,2641,349
2021-04-12 09:00:00,2641,2648.45,2622.25,2642.75,1179
2021-04-12 13:00:00,2642.75,2688.9,2641.35,2673.75,4839
2021-04-12 17:00:00,2673.75,2687.15,2668.25,2680.75,1001
2021-04-12 21:00:00,2680.75,2695.5,2680.75,2689,311
2021-04-13 01:00:00,2689,2689.75,2678,2684.5,277
2021-04-13 05:00:00,2684.5,2712.25,2679.4,2704.75,679
2021-04-13 09:00:00,2704.75,2712.25,2695.85,2702.3,1037
2021-04-13 13:00:00,2702.3,2704.8,2687.3,2696.45,1785
2021-04-13 17:00:00,2696.45,2698.25,2691.5,2696,519
2021-04-13 21:00:00,2696,2703.5,2691.3,2696.55,260
2021-04-14 01:00:00,2696.55,2699,2689.25,2689.75,187
2021-04-14 05:00:00,2689.75,2695,2684.5,2686.5,961
2021-04-14 09:00:00,2686.5,2698,2674,2685,1236
2021-04-14 13:00:00,2685,2692.55,2675,2682.5,1825
2021-04-14 17:00:00,2682.5,2686,2675.65,2681.3,1458
2021-04-14 21:00:00,2681.3,2692.45,2681.3,2687.75,21
2021-04-15 01:00:00,2687.75,2699,2687.75,2698.7,228
2021-04-15 05:00:00,2698.7,2729.7,2698.5,2723.5,866
2021-04-15 09:00:00,2723.5,2764.85,2723,2741.9,2185
2021-04-15 13:00:00,2741.9,2747,2731.95,2740.3,2711
2021-04-15 17:00:00,2740.3,2748.75,2734.75,2742,1009
2021-04-15 21:00:00,2742,2745,2742,2745,25
2021-04-16 01:00:00,2745,2745,2738.75,2742.75,113
2021-04-16 05:00:00,2742.75,2762.9,2737.45,2738.35,873
2021-04-16 09:00:00,2738.35,2786,2734,2773.2,1092
2021-04-16 13:00:00,2773.2,2779,2758.6,2775.1,2399
2021-04-16 17:00:00,2775.1,2784.75,2773.75,2779.65,810
2021-04-18 21:00:00,2779.65,2779.65,2759,2766.25,224
2021-04-19 01:00:00,2766.25,2783.5,2759.75,2781.5,330
2021-04-19 05:00:00,2781.5,2851.65,2780.05,2832.4,953
2021-04-19 09:00:00,2832.4,2842.25,2813.55,2821.05,1419
2021-04-19 13:00:00,2821.05,2834.7,2801.1,2816.6,1760
2021-04-19 17:00:00,2816.6,2822.25,2809.75,2812.1,1718
2021-04-19 21:00:00,2812.1,2813.1,2802.25,2803.25,58
2021-04-20 01:00:00,2803.25,2803.5,2793.05,2794.25,511
2021-04-20 05:00:00,2794.25,2818.3,2784,2784,554
2021-04-20 09:00:00,2784,2785.9,2724.9,2744.95,1960
2021-04-20 13:00:00,2744.95,2797.05,2729,2757.05,2524
2021-04-20 17:00:00,2757.05,2768.75,2753.25,2762.75,494
2021-04-20 21:00:00,2762.75,2788.25,2756.25,2779.45,175
2021-04-21 01:00:00,2779.45,2780.25,2761.05,2769.25,145
2021-04-21 05:00:00,2769.25,2800.75,2769.25,2778.05,781
2021-04-21 09:00:00,2778.05,2803.2,2778.05,2788.5,1211
2021-04-21 13:00:00,2788.5,2896.95,2786.75,2883.5,3634
2021-04-21 17:00:00,2883.5,2894,2871.15,2880,1205
2021-04-21 21:00:00,2880,2888.75,2879,2880.25,97
2021-04-22 01:00:00,2880.25,2885,2873.5,2874,388
2021-04-22 05:00:00,2874,2878.35,2834,2850.8,940
2021-04-22 09:00:00,2850.8,2865.45,2829.35,2857.2,1538
2021-04-22 13:00:00,2857.2,2897.05,2817.65,2846.05,3856
2021-04-22 17:00:00,2846.05,2847.05,2824.05,2842.8,1961
2021-04-22 21:00:00,2842.8,2842.8,2838.05,2838.6,44
2021-04-23 01:00:00,2838.6,2848.9,2838.6,2845.15,989
2021-04-23 05:00:00,2845.15,2857.3,2830.6,2855.6,3647
2021-04-23 09:00:00,2855.6,2930.7,2846.55,2908,1744
2021-04-23 13:00:00,2908,2927.6,2844.1,2857.8,5934
2021-04-23 17:00:00,2857.8,2864.8,2846.35,2862.15,2333
2021-04-25 21:00:00,2862.15,2870.45,2853.4,2864.6,83
2021-04-26 01:00:00,2864.6,2876.35,2859.55,2868.75,461
2021-04-26 05:00:00,2868.75,2906.95,2863.5,2897.25,922
2021-04-26 09:00:00,2897.25,2926.25,2868.85,2868.85,1216
2021-04-26 13:00:00,2868.85,2950.75,2868.85,2912.8,2280
2021-04-26 17:00:00,2912.8,2929.4,2905.5,2929.4,1358
2021-04-26 21:00:00,2929.4,2932.5,2915,2932.25,437
2021-04-27 01:00:00,2932.25,2938.5,2929.1,2929.7,148
