ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-02 21:00:00,15886.84,16069.64,15854.44,16054.44,22641
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-03 21:00:00,16045.94,16201.14,16007.44,16141.44,22844
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-04 21:00:00,16126.92,16285.62,16076.42,16161.92,22664
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-05 21:00:00,16105.88,16155.08,15965.38,16041.88,33978
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-06 21:00:00,16053.96,16080.46,15860.16,15963.96,30001
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-09 21:00:00,15907.33,16013.53,15722.53,15843.83,33099
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-10 21:00:00,15874.47,15992.97,15822.47,15986.97,29388
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-11 21:00:00,15992.49,16075.39,15949.19,16000.49,26789
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-12 21:00:00,15993.39,16088.09,15931.59,15958.39,25282
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-13 21:00:00,15924.74,15969.94,15831.44,15905.74,34359
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-16 21:00:00,15937.08,15968.48,15889.28,15942.08,16425
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-17 21:00:00,15938.46,15964.46,15667.16,15808.46,34766
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-18 21:00:00,15753.04,15898.84,15623.14,15816.14,34230
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,2022-01-19 21:00:00,15772.5,15921.2,15725.5,15861.5,30798
