config,ceiling,bb_threshold,use_any_rr,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,annee1_neg_pre,annee1_neg_post,bb_instant_opens_moy,bb_classic_opens_moy,corr_swap_admits_moy,instant_trades_total,instant_risk_capped_pct
baseline,960.0,5000.0,True,600,2220925.576846689,2201048.4697863506,6.166666666666667,4.166666666666666,56.333333333333336,32.0,24.333333333333336,15.228333333333333,0.845,200.26833333333335,2087195,99.98275197094665
trailing010,960.0,5000.0,True,600,2279780.4254399203,2262665.113813079,5.666666666666666,4.0,55.833333333333336,31.0,24.833333333333332,15.093333333333334,0.7933333333333333,200.705,2093037,99.98323011012228
baseline,1000.0,5000.0,True,600,2233434.312080029,2205648.2656392343,5.5,2.833333333333333,56.333333333333336,32.0,24.333333333333336,15.423333333333334,0.8283333333333334,201.32666666666665,2098656,99.98203612216581
trailing010,1000.0,5000.0,True,600,2291407.870974809,2266433.0049591307,5.0,2.833333333333333,55.833333333333336,31.0,24.833333333333332,15.255,0.7866666666666666,201.74666666666667,2103312,99.98250378450749
baseline,3000.0,0.0,True,600,2440071.7818521764,2339301.2825247124,4.0,0.0,42.16666666666667,11.333333333333332,30.833333333333336,14.59,0.0,220.67666666666668,2428499,99.92542718774024
trailing010,3000.0,0.0,True,600,2493734.219176468,2392909.045438311,3.5000000000000004,0.0,42.0,11.333333333333332,30.666666666666664,14.556666666666667,0.0,220.625,2428184,99.92529396454304
baseline,5000.0,0.0,True,600,2440071.7818521764,2339301.2825247124,4.0,0.0,42.16666666666667,11.333333333333332,30.833333333333336,14.59,0.0,220.67666666666668,2428499,99.92542718774024
trailing010,5000.0,0.0,True,600,2493734.219176468,2392909.045438311,3.5000000000000004,0.0,42.0,11.333333333333332,30.666666666666664,14.556666666666667,0.0,220.625,2428184,99.92529396454304
