config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B
A_seul_sans_metaux,5000.0,600,6988060.255028597,6914288.9545920845,0.0,0.0,20.666666666666668,0.0,4.460735453084392e-17
Config2_AB_metaux,5000.0,600,12879850.141716214,12713532.123315867,2.3333333333333335,4.833333333333333,19.666666666666664,5637.431666666666,0.6400950269869996
