config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B,variant
full_pop,3000.0,300,17546664.5057863,17347795.926023185,0.0,1.6666666666666667,9.0,1639.7266666666667,0.5227170748859159,full,,,baseline
full_pop,5000.0,300,17623372.833377477,17504017.65344858,0.0,0.33333333333333337,9.0,1639.7266666666667,0.5388735267453979,full,,,baseline
H1,3000.0,300,658561.3880081871,604638.3645847642,24.666666666666668,3.3333333333333335,50.33333333333333,634.6733333333333,0.3714121767508671,H1,280.0,465.0,baseline
H1,5000.0,300,661375.7876685878,604638.3645847642,24.666666666666668,0.33333333333333337,50.33333333333333,634.6733333333333,0.36315886538596137,H1,280.0,465.0,baseline
H2,3000.0,300,18920504.17967276,19048978.00445887,0.0,0.0,0.0,856.27,0.22222884818768737,H2,462.0,585.0,baseline
H2,5000.0,300,18920504.17967276,19048978.00445887,0.0,0.0,0.0,856.27,0.22222884818768737,H2,462.0,585.0,baseline
bloc1,3000.0,300,279706.68437039095,172102.56857104512,30.333333333333336,0.6666666666666667,55.666666666666664,313.81666666666666,0.352987359585004,bloc1,80.0,201.0,baseline
bloc1,5000.0,300,279802.0746299413,172102.56857104512,30.333333333333336,0.0,55.666666666666664,313.81666666666666,0.35273883535509465,bloc1,80.0,201.0,baseline
bloc2,3000.0,300,79740.56953684065,-4907.65653454556,50.0,6.333333333333334,54.333333333333336,181.36333333333334,0.18779924247268395,bloc2,200.0,264.0,baseline
bloc2,5000.0,300,82270.2482884256,1147.4139121508254,49.666666666666664,1.0,53.666666666666664,181.41333333333333,0.17761348942151034,bloc2,200.0,264.0,baseline
bloc3,3000.0,300,5431928.061622633,5293192.633884175,0.33333333333333337,0.33333333333333337,4.333333333333334,344.6666666666667,0.3717233788677281,bloc3,205.0,270.0,baseline
bloc3,5000.0,300,5440137.388858684,5315236.4117610585,0.33333333333333337,0.0,4.333333333333334,344.6666666666667,0.3743809009525037,bloc3,205.0,270.0,baseline
bloc4,3000.0,300,11954129.43186573,11998588.606224969,0.0,0.0,0.0,447.51,0.12767719230932612,bloc4,257.0,315.0,baseline
bloc4,5000.0,300,11954129.43186573,11998588.606224969,0.0,0.0,0.0,447.51,0.12767719230932612,bloc4,257.0,315.0,baseline
full_pop,3000.0,300,18121230.6388008,17832350.200186275,0.0,2.3333333333333335,8.0,1721.1833333333334,0.5202466738494625,full,,,adx_fx_only
full_pop,5000.0,300,18263659.917437337,17976847.327656418,0.0,0.33333333333333337,8.0,1721.1833333333334,0.5774864615533714,full,,,adx_fx_only
H1,3000.0,300,830423.8985193768,772166.5816508066,19.333333333333332,3.3333333333333335,45.0,639.2533333333333,0.36788707040898866,H1,280.0,465.0,adx_fx_only
H1,5000.0,300,833181.0190194951,779908.9211795973,19.666666666666664,0.33333333333333337,45.0,639.2533333333333,0.3650490133769157,H1,280.0,465.0,adx_fx_only
H2,3000.0,300,19174643.309771657,19319050.158485495,0.0,0.0,0.0,952.3133333333334,0.30986341012987256,H2,462.0,530.0,adx_fx_only
H2,5000.0,300,19174643.309771657,19319050.158485495,0.0,0.0,0.0,952.3133333333334,0.30986341012987256,H2,462.0,530.0,adx_fx_only
bloc1,3000.0,300,349139.36697475746,257887.76892372707,24.666666666666668,0.6666666666666667,46.666666666666664,320.06,0.3719201054619524,bloc1,80.0,201.0,adx_fx_only
bloc1,5000.0,300,349234.7572343078,257887.76892372707,24.666666666666668,0.0,46.666666666666664,320.06,0.3716054764953748,bloc1,80.0,201.0,adx_fx_only
bloc2,3000.0,300,162815.0399197285,82452.82356201619,41.66666666666667,5.666666666666666,50.0,185.24666666666667,0.18800235506253235,bloc2,200.0,264.0,adx_fx_only
bloc2,5000.0,300,160869.06835091725,82228.6463313136,41.66666666666667,0.33333333333333337,50.0,185.29,0.18632859938126808,bloc2,200.0,264.0,adx_fx_only
bloc3,3000.0,300,5516414.212199241,5405473.637406558,0.6666666666666667,0.0,4.0,398.5,0.4239887871531851,bloc3,205.0,256.0,adx_fx_only
bloc3,5000.0,300,5516414.212199241,5405473.637406558,0.6666666666666667,0.0,4.0,398.5,0.4239887871531851,bloc3,205.0,256.0,adx_fx_only
bloc4,3000.0,300,11892905.80662366,11882853.78886741,0.0,0.0,0.0,446.38666666666666,0.22911488765818588,bloc4,257.0,274.0,adx_fx_only
bloc4,5000.0,300,11892905.80662366,11882853.78886741,0.0,0.0,0.0,446.38666666666666,0.22911488765818588,bloc4,257.0,274.0,adx_fx_only
