label,profit_moyen,profit_median,solde_negatif,annee1_neg,b_never_profitable,b_first_profit_p50,b_first_profit_p90,hit_ceiling_960,hit_ceiling_1000,hit_ceiling_3000,hit_ceiling_5000
"1. REF (A seul, InstantElite)",142061.80586986162,142176.89404368273,0.0,3.6666666666666665,,,,100.0,100.0,100.0,100.0
2a. A+B (B=InstantElite),246604.56142141094,246533.6988066982,0.0,2.833333333333333,0.0,5.257858796296296,54.29824074074074,100.0,100.0,100.0,100.0
2b. A+B (B=2StepStandard),237650.55454645783,234305.25541603653,0.0,2.833333333333333,0.0,85.15557870370371,226.15701851851858,100.0,100.0,100.0,100.0
