date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force,case,tp1_time,sl_time,resolution_time,resolution_verifiee,resolution_time_est,payoff_bucket,r_realiste,r_trailing
2021-05-04 08:40:54,PLATINUM,FX/Indices,1H,1246.0,1240.5,1261.8,1313.24,2.8727272727272646,12.225454545454546,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-05-04 16:09:45,hors_couverture,2.8727272727272646,2.8727272727272646
2021-05-10 09:33:35,PLATINUM,FX/Indices,1H,1267.8,1261.83,1273.9,1313.24,1.0217755443886278,7.611390284757094,OBJECTIF ATTEINT,8.4,hors_couverture_historique,,,,False,2021-05-10 17:02:26,hors_couverture,1.0217755443886278,1.0217755443886278
2021-05-13 23:30:28,NATURAL GAS,FX/Indices,1H,2.978,2.97,2.989,3.001,1.3749999999999585,2.8749999999999583,INVALIDÉE,8.4,hors_couverture_historique,,,,False,2021-05-14 06:59:19,,-1.0,-1.0
2021-05-18 00:36:03,PLATINUM,FX/Indices,1H,1249.0,1236.27,1265.5,1281.4,1.2961508248232505,2.545168892380208,INVALIDÉE,8.8,hors_couverture_historique,,,,False,2021-05-18 08:04:54,,-1.0,-1.0
2021-06-02 13:38:50,PALLADIUM,FX/Indices,1H,2862.5,2854.0,2873.22,2903.1,1.2611764705882118,4.776470588235283,OBJECTIF ATTEINT,7.9,hors_couverture_historique,,,,False,2021-06-02 21:07:41,hors_couverture,1.2611764705882118,1.2611764705882118
2021-06-04 20:04:33,NATURAL GAS,FX/Indices,Journalier,3.098,3.029,3.23,3.354,1.9130434782608727,3.7101449275362377,OBJECTIF ATTEINT,8.4,hors_couverture_historique,,,,False,2021-06-05 03:33:24,hors_couverture,1.9130434782608727,1.9130434782608727
2021-06-08 06:30:27,NATURAL GAS,FX/Indices,1H,3.108,3.09,3.15,3.23,2.333333333333292,6.777777777777682,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-06-08 13:59:18,hors_couverture,2.333333333333292,2.333333333333292
2021-06-09 19:39:35,NATURAL GAS,FX/Indices,1H,3.149,3.108,3.198,3.23,1.1951219512195128,1.975609756097564,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-06-10 03:08:26,hors_couverture,1.1951219512195128,1.1951219512195128
2021-06-23 11:58:49,NATURAL GAS,FX/Indices,Journalier,3.291,3.23,3.354,3.509,1.0327868852459052,3.5737704918032818,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-06-23 19:27:40,hors_couverture,1.0327868852459052,1.0327868852459052
2021-07-07 18:36:50,PALLADIUM,FX/Indices,1H,2862.0,2836.8,2903.1,2981.4,1.6309523809523891,4.738095238095276,INVALIDÉE,8.9,hors_couverture_historique,,,,False,2021-07-08 02:05:41,,-1.0,-1.0
2021-08-03 14:38:33,PLATINUM,FX/Indices,1H,1037.1,1044.2,1027.78,976.37,1.312676056337994,8.553521126760385,INVALIDÉE,7.7,hors_couverture_historique,,,,False,2021-08-03 22:07:24,,-1.0,-1.0
2021-08-05 23:03:32,PLATINUM,FX/Indices,Journalier,1000.9,1027.78,961.83,891.17,1.4534970238095215,4.082217261904764,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-08-06 06:32:23,hors_couverture,1.4534970238095215,1.4534970238095215
2021-08-09 05:37:14,NATURAL GAS,FX/Indices,1H,4.175,4.148,4.205,4.375,1.1111111111111147,7.407407407407377,INVALIDÉE,8.6,hors_couverture_historique,,,,False,2021-08-09 13:06:05,,-1.0,-1.0
2021-08-12 16:36:30,PLATINUM,FX/Indices,1H,1021.6,1017.96,1027.78,1036.3,1.6978021978021904,4.038461538461535,INVALIDÉE,8.6,hors_couverture_historique,,,,False,2021-08-13 00:05:21,,-1.0,-1.0
2021-08-26 11:34:39,NATURAL GAS,FX/Indices,1H,3.965,3.952,3.989,4.159,1.846153846153862,14.923076923077032,OBJECTIF ATTEINT,8.9,hors_couverture_historique,,,,False,2021-08-26 19:03:30,hors_couverture,1.846153846153862,1.846153846153862
2021-09-07 10:33:33,PALLADIUM,FX/Indices,1H,2387.5,2398.2,2367.8,2356.0,1.841121495327117,2.9439252336449098,OBJECTIF ATTEINT,8.2,hors_couverture_historique,,,,False,2021-09-07 18:02:24,hors_couverture,1.841121495327117,1.841121495327117
2021-09-14 23:31:44,PLATINUM,FX/Indices,1H,932.9,942.2,920.57,881.39,1.3258064516128856,5.538709677419313,OBJECTIF ATTEINT,7.9,hors_couverture_historique,,,,False,2021-09-15 07:00:35,hors_couverture,1.3258064516128856,1.3258064516128856
2021-10-08 08:32:32,PLATINUM,FX/Indices,1H,986.9,981.1,997.7,1028.65,1.862068965517268,7.198275862069042,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-10-08 16:01:23,hors_couverture,1.862068965517268,1.862068965517268
2021-10-10 22:30:47,PALLADIUM,FX/Indices,1H,2110.0,2078.8,2155.67,2207.54,1.463782051282062,3.126282051282068,OBJECTIF ATTEINT,8.8,hors_couverture_historique,,,,False,2021-10-11 05:59:38,hors_couverture,1.463782051282062,1.463782051282062
2021-10-14 07:32:19,PLATINUM,FX/Indices,1H,1026.5,1020.63,1041.7,1105.6,2.589437819420789,13.47529812606471,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-10-14 15:01:10,hors_couverture,2.589437819420789,2.589437819420789
2021-10-15 08:32:40,NATURAL GAS,FX/Indices,1H,5.726,5.656,5.808,5.964,1.1714285714285646,3.3999999999999924,INVALIDÉE,7.1,hors_couverture_historique,,,,False,2021-10-15 16:01:31,,-1.0,-1.0
