config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,seuil_declenchement
Sequentiel_seuil3000,3000.0,600,17906000.1412843,17689573.449225515,0.0,1.6666666666666667,7.5,1657.3783333333333,0.45356197940650284,3000.0
Sequentiel_seuil3000,5000.0,600,17982577.605926257,17791735.184760105,0.0,0.33333333333333337,7.5,1657.3783333333333,0.4730035076751684,3000.0
