ceiling,subperiod,n_trades,profit_groupe,profit_echelonne,d_profit_pct,annee1_neg_groupe,annee1_neg_echelonne,d_annee1,inversion
960.0,H1,315,-4633.031068541866,-28103.668322628644,-506.5935649223606,86.0,89.0,3.0,True
960.0,H2,316,5582573.106146816,5925202.414975647,6.137480017083361,0.0,0.0,0.0,False
960.0,bloc0,158,-11443.056663253368,-30485.83504107763,-166.41338881922672,92.0,89.0,-3.0,True
960.0,bloc1,158,-9324.691999868815,-400.7981527972076,95.70175451582908,90.0,94.0,4.0,False
960.0,bloc2,158,2361787.2287639757,3058917.193984551,29.51705203289685,0.0,0.0,0.0,False
960.0,bloc3,157,1850945.753387067,2525269.629958944,36.431314928485826,9.0,5.0,-4.0,False
3000.0,H1,315,-21181.366480543446,-25657.14500531352,-21.13073549282756,72.0,73.0,1.0,True
3000.0,H2,316,5686541.4764083745,6145123.170174042,8.064333930705944,0.0,0.0,0.0,False
3000.0,bloc0,158,-19984.867532128195,-45425.923747301546,-127.30160044480476,85.0,80.0,-5.0,True
3000.0,bloc1,158,-8905.324454650092,-5830.807117131875,34.52448423608863,80.0,87.0,7.0,False
3000.0,bloc2,158,2760801.560950303,3605409.715088431,30.59285991737135,0.0,0.0,0.0,False
3000.0,bloc3,157,2000404.0693730384,2850316.380430353,42.487031698735336,6.0,4.0,-2.0,False
