config,ceiling,bb_threshold,use_any_rr,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,annee1_neg_pre,annee1_neg_post,bb_instant_opens_moy,bb_classic_opens_moy,corr_swap_admits_moy,instant_trades_total,instant_risk_capped_pct
baseline,960.0,5000.0,True,5,2581480.323847001,3322549.2033133665,20.0,0.0,40.0,20.0,20.0,10.2,1.4,207.4,18630,100.0
trailing010,960.0,5000.0,True,5,2646262.980141281,3421083.808396778,20.0,0.0,40.0,20.0,20.0,10.2,1.4,207.4,18588,100.0
adx,960.0,5000.0,True,5,2694434.5293730237,2577308.21304317,20.0,0.0,40.0,20.0,20.0,10.6,0.8,108.2,15179,100.0
rrtp1sizing,960.0,5000.0,True,5,2163308.9445151645,2547953.6203714376,20.0,0.0,20.0,20.0,0.0,10.6,0.8,206.6,18825,41.2589641434263
baseline,3000.0,0.0,True,5,2779552.2448071623,3469201.594824162,20.0,0.0,40.0,0.0,40.0,9.6,0.0,225.8,20732,99.93247154157824
trailing010,3000.0,0.0,True,5,2848623.454575165,3578353.0422482686,20.0,0.0,40.0,0.0,40.0,9.6,0.0,225.8,20732,99.93247154157824
adx,3000.0,0.0,True,5,3003770.916363296,3145197.940192557,20.0,0.0,40.0,0.0,40.0,12.4,0.0,117.0,17822,99.89339019189765
rrtp1sizing,3000.0,0.0,True,5,2284236.501129374,2583070.378411134,20.0,0.0,40.0,20.0,20.0,9.6,0.0,221.0,20592,41.36557886557887
