config,ceiling,bb_threshold,use_any_rr,n,cout_ouverture_reel,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,annee1_neg_pre,annee1_neg_post,bb_instant_opens_moy,bb_classic_opens_moy,corr_swap_admits_moy,instant_trades_total,instant_risk_capped_pct
Prime25k,3000.0,0.0,True,5,165.0,6926352.582636493,7792674.568335457,0.0,0.0,0.0,0.0,0.0,9.2,6.2,483.0,19859,100.0
InstantElite25k,3000.0,0.0,True,5,800.0,7230368.875203254,8330776.781955131,0.0,0.0,0.0,0.0,0.0,9.4,0.0,494.2,23676,99.98732894069944
InstantElite10k,3000.0,0.0,True,5,400.0,7039691.849504793,7723169.00341553,0.0,0.0,20.0,0.0,20.0,9.4,0.0,489.6,23396,99.98717729526415
InstantElite5k,3000.0,0.0,True,5,200.0,6948943.76966477,7708556.137705987,0.0,0.0,0.0,0.0,0.0,9.6,0.0,483.8,23144,99.982716902869
Prime25k,5000.0,0.0,True,5,165.0,6858767.087652875,7794314.73214059,0.0,0.0,20.0,20.0,0.0,7.8,6.2,472.8,19306,100.0
InstantElite25k,5000.0,0.0,True,5,800.0,7230368.875203254,8330776.781955131,0.0,0.0,0.0,0.0,0.0,9.4,0.0,494.2,23676,99.98732894069944
InstantElite10k,5000.0,0.0,True,5,400.0,7039691.849504793,7723169.00341553,0.0,0.0,20.0,0.0,20.0,9.4,0.0,489.6,23396,99.98717729526415
InstantElite5k,5000.0,0.0,True,5,200.0,6948943.76966477,7708556.137705987,0.0,0.0,0.0,0.0,0.0,9.6,0.0,483.8,23144,99.982716902869
