config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B,variant
full_pop,3000.0,600,17906000.1412843,17689573.449225515,0.0,1.6666666666666667,7.5,1657.3783333333333,0.45356197940650284,full,,,baseline
full_pop,5000.0,600,17982577.605926257,17791735.184760105,0.0,0.33333333333333337,7.5,1657.3783333333333,0.4730035076751684,full,,,baseline
H1,3000.0,600,621018.0568359402,545906.418812257,26.166666666666664,4.5,49.5,629.3366666666667,0.32039966621711924,H1,280.0,465.0,baseline
H1,5000.0,600,621630.3254740629,545906.418812257,26.166666666666664,0.5,49.5,629.3366666666667,0.31621503516710614,H1,280.0,465.0,baseline
H2,3000.0,600,18736311.45052789,18747924.54939728,0.0,0.0,0.16666666666666669,857.8133333333334,0.2352712105527332,H2,462.0,585.0,baseline
H2,5000.0,600,18736311.45052789,18747924.54939728,0.0,0.0,0.16666666666666669,857.8133333333334,0.2352712105527332,H2,462.0,585.0,baseline
bloc1,3000.0,600,278367.47416271386,180807.79250926772,28.166666666666668,0.33333333333333337,52.666666666666664,321.08,0.33565837767836515,bloc1,80.0,201.0,baseline
bloc1,5000.0,600,278415.16929248907,180807.79250926772,28.166666666666668,0.0,52.666666666666664,321.08,0.33552089105994726,bloc1,80.0,201.0,baseline
bloc2,3000.0,600,76202.64000376644,4660.008296769809,49.5,4.5,51.66666666666667,177.955,0.23673268081429868,bloc2,200.0,264.0,baseline
bloc2,5000.0,600,77801.49562971068,5117.554142110093,49.333333333333336,1.0,51.33333333333333,177.98,0.22958508591011653,bloc2,200.0,264.0,baseline
bloc3,3000.0,600,5443525.378431606,5242134.236704434,0.33333333333333337,0.16666666666666669,4.166666666666666,346.00666666666666,0.3837683887984044,bloc3,205.0,270.0,baseline
bloc3,5000.0,600,5447630.042049632,5252799.947256935,0.33333333333333337,0.0,4.166666666666666,346.00666666666666,0.3851565857866053,bloc3,205.0,270.0,baseline
bloc4,3000.0,600,12073210.176201088,12131751.041828778,0.0,0.16666666666666669,0.0,453.5466666666667,0.07935934418619071,bloc4,257.0,315.0,baseline
bloc4,5000.0,600,12086587.357464015,12149682.865986593,0.0,0.0,0.0,453.5466666666667,0.07701687764772545,bloc4,257.0,315.0,baseline
full_pop,3000.0,600,18491458.690169066,18370343.336335286,0.0,2.166666666666667,6.833333333333333,1733.52,0.47777796022079116,full,,,adx_fx_only
full_pop,5000.0,600,18602940.356765743,18444525.75119772,0.0,0.5,6.666666666666667,1733.52,0.5206102921982215,full,,,adx_fx_only
H1,3000.0,600,788363.0250511218,721872.0860683373,20.666666666666668,4.333333333333334,45.5,636.1866666666666,0.3252143633996849,H1,280.0,465.0,adx_fx_only
H1,5000.0,600,790053.1080087745,728123.5502935352,21.166666666666668,0.5,45.5,636.1866666666666,0.32119079183825144,H1,280.0,465.0,adx_fx_only
H2,3000.0,600,18956080.70412437,18967780.936641537,0.0,0.0,0.0,946.5883333333334,0.3206767208565649,H2,462.0,530.0,adx_fx_only
H2,5000.0,600,18956080.70412437,18967780.936641537,0.0,0.0,0.0,946.5883333333334,0.3206767208565649,H2,462.0,530.0,adx_fx_only
bloc1,3000.0,600,353517.5596828701,266304.1058755135,22.0,0.33333333333333337,44.5,328.15166666666664,0.35001989245977816,bloc1,80.0,201.0,adx_fx_only
bloc1,5000.0,600,353565.2548126453,266304.1058755135,22.0,0.0,44.5,328.15166666666664,0.3498453780026524,bloc1,80.0,201.0,adx_fx_only
bloc2,3000.0,600,158769.16565125607,97996.98556626719,42.66666666666667,4.0,46.33333333333333,182.92666666666668,0.23523111124204124,bloc2,200.0,264.0,adx_fx_only
bloc2,5000.0,600,157259.58836217978,97613.15386131393,42.66666666666667,0.5,46.33333333333333,182.94833333333332,0.2343866628993793,bloc2,200.0,264.0,adx_fx_only
bloc3,3000.0,600,5550705.469429827,5415256.671341959,0.5,0.0,4.166666666666666,404.5083333333333,0.4372163423890976,bloc3,205.0,256.0,adx_fx_only
bloc3,5000.0,600,5550705.469429827,5415256.671341959,0.5,0.0,4.166666666666666,404.5083333333333,0.4372163423890976,bloc3,205.0,256.0,adx_fx_only
bloc4,3000.0,600,12005675.195976973,12000505.679543085,0.0,0.0,0.0,452.98,0.19833886477883841,bloc4,257.0,274.0,adx_fx_only
bloc4,5000.0,600,12005675.195976973,12000505.679543085,0.0,0.0,0.0,452.98,0.19833886477883841,bloc4,257.0,274.0,adx_fx_only
