fold,n_blocs,ref_profit,ref_solde_neg,ref_annee1,ab_profit,ab_solde_neg,ab_annee1,delta_pct
H1,14,-14054.36181863475,76.0,62.66666666666667,-23131.679891486347,81.33333333333333,70.33333333333334,-64.58719499320085
H2,14,298220.6288764246,0.0,0.0,517863.2627555503,0.0,0.0,73.65105315036415
bloc0,7,-38232.8969760929,96.66666666666667,82.0,-29584.779803879846,84.33333333333334,70.33333333333334,22.619570726279882
bloc1,7,12764.688702962581,10.333333333333334,31.333333333333336,-11836.303019731835,74.66666666666667,64.33333333333333,-192.7269226470421
bloc2,7,301193.7912846731,0.0,0.0,494083.83363525174,0.0,0.0,64.04183882006677
bloc3,7,293378.6660757023,0.0,0.0,528913.9820788351,0.0,0.0,80.283723132873
