lever,n,profit_moyen,profit_median,solde_negatif,annee1_neg,hit_ceiling_960,hit_ceiling_1000,hit_ceiling_3000,hit_ceiling_5000
baseline_config2,600,454566.96070025,445779.72378821496,0.0,3.0,100.0,100.0,100.0,100.0
adx_filtre,600,430883.47413811454,422939.0705542641,0.0,3.166666666666667,100.0,100.0,100.0,100.0
rrtp1_sizing,600,438024.48891375435,429907.4304431356,0.0,3.166666666666667,100.0,100.0,100.0,100.0
