label,profit_moyen,profit_median,solde_negatif,annee1_neg,b_never_profitable,b_first_profit_p50,b_first_profit_p90,hit_ceiling_960,hit_ceiling_1000,hit_ceiling_3000,hit_ceiling_5000
"1. REF (A seul, InstantElite)",116913.13298142937,105463.72415102045,0.0,10.0,,,,100.0,100.0,100.0,100.0
2a. A+B (B=InstantElite),219857.4565986563,209720.14835528936,0.0,0.0,0.0,5.257858796296296,54.29824074074074,100.0,100.0,100.0,100.0
2b. A+B (B=2StepStandard),207774.65740757884,203135.45005641642,0.0,0.0,0.0,120.88291087962963,215.08320138888885,100.0,100.0,100.0,100.0
