cost_total,profit_moyen,profit_median,solde_negatif,annee1_neg,b_first_profit_p50,b_first_profit_p90,b_never_profitable,hit_ceiling_960,hit_ceiling_1000,hit_ceiling_3000,hit_ceiling_5000,label
1600.0,251082.47203125255,252474.11461587835,0.0,4.333333333333334,5.257858796296296,54.29824074074074,0.0,100.0,100.0,100.0,100.0,A25k+B25k (ref)
1200.0,188016.54600009145,186091.28137152095,0.0,2.666666666666667,5.257858796296296,54.29824074074074,0.0,100.0,100.0,100.0,100.0,A25k+B10k
1000.0,164233.49413210675,164071.7551381553,0.0,6.666666666666667,5.007824074074074,54.29824074074074,0.0,100.0,100.0,100.0,100.0,A25k+B5k
800.0,98962.9818078298,98035.18627490615,0.0,2.3333333333333335,5.007824074074074,42.85831018518518,0.0,100.0,100.0,100.0,100.0,A10k+B10k
600.0,80022.48111773498,79693.11792739517,0.0,3.0,5.257858796296296,42.85831018518518,0.0,100.0,100.0,100.0,100.0,A10k+B5k
400.0,50762.49259850985,50417.4887441742,0.0,3.0,5.132841435185185,44.002303240741,0.0,100.0,100.0,100.0,100.0,A5k+B5k
