subperiod,baseline,adx,d_adx_pct,rrtp1,d_rrtp1_pct
H1,-10174.21052117567,-10174.21052117567,0.0,-9798.886935207638,3.688970118977463
H2,606772.3690043223,584569.3112641935,-3.659207121867256,584310.6168093838,-3.701841636559175
bloc0,867.6626298451367,867.6626298451367,0.0,264.1758116195109,-69.55316472870776
bloc1,-13298.554731874157,-13298.554731874157,0.0,-12041.92941901491,9.44933745204169
bloc2,281129.74031717796,275946.41028002056,-1.8437501600895843,270059.0594928678,-3.9379258885310167
bloc3,333016.1558646412,304639.2496415217,-8.521180045887515,321052.57397857844,-3.5924929392691394
