cagr_p10,cagr_p50,cagr_p90,dd_p10,dd_p50,dd_p90,ruin_pct,calmar_p50,capacity_hit_pct,capital,risk_pct,any_rr,rr_sizing
0.4163984769412258,0.6716914911413312,0.9288585196909226,6.885284534256147,13.890951881404986,20.327024336693704,0.0,4.9568059135576,86.15,250000,0.005,False,False
0.499449000749088,0.7806825794437772,1.0363050719100715,7.220529666395972,14.426021432970899,21.261096989175407,0.0,5.5038201797471675,98.3,250000,0.005,False,True
0.4615581254435339,0.7523429400530249,1.034042946579236,7.0539726794225155,12.730221730526189,19.265141643677584,0.0,5.935689755614687,90.8,250000,0.005,True,False
0.5526126087044133,0.8644189232414802,1.143981842030328,7.248419409789838,13.231456289039441,19.868243595237654,0.0,6.492037123168439,98.6,250000,0.005,True,True
0.7900161487749642,1.1076271654790686,1.4033030085619342,11.211478444612696,21.711650921513197,33.282042244923126,0.05,5.131874727642541,99.9,250000,0.01,False,False
0.8581582350040786,1.1757831747787506,1.4866696452153154,11.175947576726468,21.4308292365288,34.20528772860231,0.1,5.447614859746285,100.0,250000,0.01,False,True
0.8619294130672868,1.200740504423023,1.5321329765605336,11.129166869577803,20.22145590687994,31.35434171525833,0.0,6.0169385882952575,100.0,250000,0.01,True,False
0.9320823771933553,1.279312384019923,1.6514758851792406,10.910086242483537,20.109734755518943,32.17756964395061,0.0,6.352779873637227,100.0,250000,0.01,True,True
0.9581625597923321,1.3302283830132753,1.6913779992776012,13.743060958825813,24.259859960978517,42.9890148369564,0.7,5.272019673771097,100.0,250000,0.015,False,False
1.0228061559309618,1.400837261949872,1.810241948546888,13.687105327884037,25.119702446475625,43.995841800775445,0.85,5.524148678579367,100.0,250000,0.015,False,True
1.043318158307008,1.4324787145319693,1.8745448671287557,13.776986660162219,23.6250152916797,40.64590153103972,0.5,6.023914834216679,100.0,250000,0.015,True,False
1.112981965996955,1.5308728143430734,2.0449214401048375,13.457785182815353,23.715499071002732,41.17961173407142,0.5,6.371988814712557,100.0,250000,0.015,True,True
1.0797888428739475,1.497028030209179,1.9662952130894231,16.40942949638979,27.755435203979836,50.68189354072781,2.25,5.330392407407617,100.0,250000,0.02,False,False
1.15111883101124,1.5876334096632034,2.1233194839961507,16.504045184464207,28.060076783124604,51.304375634740005,2.5,5.562158836652115,100.0,250000,0.02,False,True
1.1616575096738941,1.6236267989446396,2.225994016498991,16.354705349317502,26.357083432224265,47.665546931531196,1.85,6.023915150793652,100.0,250000,0.02,True,False
1.2365707182160084,1.7543113124038516,2.480297924414897,16.584545529786475,27.00433954060939,48.48698912103165,1.9,6.462626163301108,100.0,250000,0.02,True,True
1.2562300245366491,1.803557997879151,2.5596926366172843,20.690523644220352,32.50350934611525,61.683856713681585,7.1,5.395526218875764,100.0,250000,0.03,False,False
1.3363533863851813,1.9382546519267427,2.847250472999369,21.230128705622345,33.516756059605115,62.42482776828201,7.35,5.710890406378234,100.0,250000,0.03,False,True
1.344527635725043,2.0020931402750444,2.9777861720950276,20.870480205330868,31.948764611960137,58.61284276701918,6.8,6.143245790549801,100.0,250000,0.03,True,False
1.4352701432880324,2.216896622566372,3.4663759365435887,21.763479314637898,33.541848448447325,59.40435729914281,7.3,6.621265793090066,100.0,250000,0.03,True,True
0.40863569351229556,0.6206989390436662,0.8167748425032271,6.621997954583395,13.37314186998432,19.876962568264837,0.0,4.7187327160792805,98.75,500000,0.005,False,False
0.47060711700364644,0.685416544442571,0.8828336416822565,6.857221140543682,13.757402257254972,20.538666908092704,0.0,5.038704810163924,100.0,500000,0.005,False,True
0.45291364130755296,0.6889044093040798,0.8998074157321655,6.840206461137168,12.26782396274912,18.59466802727193,0.0,5.592928348802239,99.05,500000,0.005,True,False
0.5159877149000421,0.7546694192439333,0.9732691753898329,6.8575202779517594,12.613541140745316,19.04112539066563,0.0,5.981240119214942,100.0,500000,0.005,True,True
0.6587063976811914,0.9148751666949019,1.1597199950935295,10.116943646316033,19.392835359888288,31.619628356479776,0.05,4.639386594469187,100.0,500000,0.01,False,False
0.7014304796892946,0.9611689196967328,1.2190830116560734,10.118136899656571,19.308580972783275,32.299676020714685,0.05,4.863083929342106,100.0,500000,0.01,False,True
0.717299355796751,0.988322135865374,1.2716761588929122,9.919333097664786,18.026809477094986,29.965744647027915,0.0,5.394401336368075,100.0,500000,0.01,True,False
0.7637142413219035,1.0476030512440258,1.3674175943109919,9.95464416227505,18.24705686088074,30.551208540504877,0.0,5.646366607898189,100.0,500000,0.01,True,True
0.7755214405426228,1.0806149549121837,1.3966789655069318,12.80517364934984,22.337130727882773,40.81832588113363,0.7,4.742736079374234,100.0,500000,0.015,False,False
0.8253837572004314,1.140588624969586,1.4871680115493213,12.763469268690784,22.732191528751766,41.342889883472104,0.75,4.909226759316685,100.0,500000,0.015,False,True
0.8478426878760726,1.1683502477708103,1.5599178640732623,12.660101384709998,21.49349544443788,38.26342400260735,0.5,5.419911472115199,100.0,500000,0.015,True,False
0.8899128440503128,1.2489313781286469,1.7041829931869334,12.800358165593849,21.810581165228186,38.82429750814771,0.5,5.746710583627863,100.0,500000,0.015,True,True
0.8694172990816689,1.2148508863776748,1.6315742875389343,14.84576031730435,24.9310568842207,47.7748719899711,2.15,4.789497599685038,100.0,500000,0.02,False,False
0.9218810209836988,1.2864415010600923,1.7696289368855405,15.22840045914167,25.31135477193343,48.55754758060286,2.35,5.0496858622725505,100.0,500000,0.02,False,True
0.9259526532256678,1.3314111520704488,1.858141567471995,14.954014675077504,24.37030815066732,44.91163841998221,1.65,5.393891221824687,100.0,500000,0.02,True,False
0.9852840147773526,1.443035622497371,2.0828309310121402,15.336737453460136,24.55831379122482,45.82648797839001,1.85,5.8058259799091445,100.0,500000,0.02,True,True
1.0160605301047785,1.4861538382864898,2.1509649007641243,19.6379400621586,29.81272797725714,58.33412701207708,7.1,4.861465663696366,100.0,500000,0.03,False,False
