config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B
A_seul_sans_metaux,3000.0,5,7137508.853879346,7783434.971429221,0.0,0.0,0.0,0.0,
Config2_AB_metaux,3000.0,5,12766146.48149033,10210155.890028398,0.0,20.0,0.0,4933.6,0.6732310645073538
