config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,seuil_declenchement,n_trades_A,n_trades_B
Sequentiel_seuil3000_H1,3000.0,100,572534.8915864632,413907.3138554527,31.0,3.0,55.00000000000001,641.11,0.5080626702107663,3000.0,280,465
Sequentiel_seuil3000_H1,5000.0,100,566536.2629363039,413907.3138554527,30.0,1.0,56.00000000000001,641.11,0.5156650927464734,3000.0,280,465
Sequentiel_seuil3000_H2,3000.0,100,19424858.471392423,19029832.413208473,0.0,0.0,0.0,880.63,0.2618988656695223,3000.0,462,585
Sequentiel_seuil3000_H2,5000.0,100,19424858.471392423,19029832.413208473,0.0,0.0,0.0,880.63,0.2618988656695223,3000.0,462,585
Sequentiel_seuil3000_bloc1,3000.0,100,173155.70943044912,89631.90575266065,39.0,0.0,61.0,304.05,0.2228238346010691,3000.0,80,201
Sequentiel_seuil3000_bloc1,5000.0,100,173155.70943044912,89631.90575266065,39.0,0.0,61.0,304.05,0.2228238346010691,3000.0,80,201
Sequentiel_seuil3000_bloc2,3000.0,100,6221.043712042971,-13563.145976083026,50.0,2.0,45.0,174.7,0.30160122862746447,3000.0,200,264
Sequentiel_seuil3000_bloc2,5000.0,100,8097.736324894084,-13563.145976083026,50.0,0.0,45.0,174.7,0.30197321526165755,3000.0,200,264
Sequentiel_seuil3000_bloc3,3000.0,100,5230183.950606979,4774970.65904404,1.0,0.0,2.0,331.45,0.45896473866459464,3000.0,205,270
Sequentiel_seuil3000_bloc3,5000.0,100,5230183.950606979,4774970.65904404,1.0,0.0,2.0,331.45,0.45896473866459464,3000.0,205,270
Sequentiel_seuil3000_bloc4,3000.0,100,11651608.284437487,11514789.427367568,0.0,0.0,0.0,445.82,0.16741597767056807,3000.0,257,315
Sequentiel_seuil3000_bloc4,5000.0,100,11651608.284437487,11514789.427367568,0.0,0.0,0.0,445.82,0.16741597767056807,3000.0,257,315
