label,n,rr_moy,ev,rate
A (sans metaux),742,1.984347130095136,0.8994964616751663,13.772243902439024
B (sans metaux),571,1.3132320114847156,0.8180201153098682,10.566103343465047
"A (Config 0, = A0)",742,1.984347130095136,0.8994964616751663,13.772243902439024
B (Config 0),1505,1.5411388814859943,0.9717768006549771,23.63890608875129
A (Config 1),1342,1.9821989826498227,0.9801125400020207,21.100454545454546
B (Config 1),905,1.2504845883435916,0.9001540672552507,14.214757481940145
