config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,n_trades_A,n_trades_B
Config2_AB_H1,3000.0,5,249425.8583502068,-55078.850075140945,60.0,0.0,40.0,600.6,0.41689879395877155,280,465
Config2_AB_H2,3000.0,5,21944596.136647154,22611139.123746254,0.0,0.0,0.0,718.2,-0.2538892139932415,462,585
Config2_AB_bloc1,3000.0,5,261278.1425913563,175932.28555941608,0.0,0.0,40.0,404.4,0.45715228604463415,80,201
Config2_AB_bloc2,3000.0,5,-19786.246528129675,247434.44642982294,40.0,0.0,60.0,197.8,0.6116854625866083,200,264
Config2_AB_bloc3,3000.0,5,6397061.912853844,6271429.96516324,0.0,0.0,0.0,373.4,-0.14334851424707407,205,270
Config2_AB_bloc4,3000.0,5,13497630.370963067,13869863.10671223,0.0,0.0,0.0,556.8,0.015297711716486475,257,315
