facteur,n,ev_confirmed,delta_vs_tp2_sec,ev_population_b_complete,delta_vs_baseline_full
0.1,117,4.7825520746982155,0.3654508448845908,0.8180201153098682,0.07488222215673768
0.15,117,4.747302153673155,0.3302009238595298,0.8107972768511429,0.06765938369801239
0.2,117,4.727660041432927,0.3105588116193019,0.8067725358141784,0.0636346426610479
0.25,117,4.725555795968271,0.30845456615464606,0.8063413681795644,0.06320347502643386
