config,ceiling,bb_threshold,use_any_rr,n,cout_ouverture_reel,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,annee1_neg_pre,annee1_neg_post,bb_instant_opens_moy,bb_classic_opens_moy,corr_swap_admits_moy,instant_trades_total,instant_risk_capped_pct
Prime25k,3000.0,0.0,True,600,165.0,6459445.49531062,6202560.969214844,0.0,0.16666666666666669,22.166666666666668,7.000000000000001,15.166666666666668,9.985,6.075,399.78333333333336,2342550,100.0
InstantElite25k,3000.0,0.0,True,600,800.0,6709266.747920641,6476879.648393266,0.0,0.0,15.5,1.8333333333333333,13.666666666666666,10.256666666666666,0.0,415.1483333333333,2817307,99.94924230834623
InstantElite10k,3000.0,0.0,True,600,400.0,6537675.128091692,6308401.711476991,0.16666666666666669,0.16666666666666669,18.666666666666668,4.333333333333334,14.333333333333334,10.151666666666667,0.0,408.335,2774325,99.94831175150712
InstantElite5k,3000.0,0.0,True,600,200.0,6440699.017733644,6237737.501073431,0.16666666666666669,0.16666666666666669,21.166666666666668,6.0,15.166666666666668,10.008333333333333,0.0,403.955,2740435,99.9465048432092
Prime25k,5000.0,0.0,True,600,165.0,6429908.744247623,6181789.099004673,0.0,0.0,24.166666666666668,7.5,16.666666666666664,10.075,6.076666666666667,398.735,2334185,100.0
InstantElite25k,5000.0,0.0,True,600,800.0,6709266.747920641,6476879.648393266,0.0,0.0,15.5,1.8333333333333333,13.666666666666666,10.256666666666666,0.0,415.1483333333333,2817307,99.94924230834623
InstantElite10k,5000.0,0.0,True,600,400.0,6548003.5027498305,6308401.711476991,0.0,0.16666666666666669,18.666666666666668,4.333333333333334,14.333333333333334,10.17,0.0,409.12833333333333,2778233,99.9481325000459
InstantElite5k,5000.0,0.0,True,600,200.0,6451105.384614184,6237737.501073431,0.0,0.16666666666666669,21.166666666666668,6.0,15.166666666666668,10.025,0.0,404.7416666666667,2744332,99.94643505231873
