lever,n,profit_moyen,profit_median,solde_negatif,annee1_neg,hit_ceiling_960,hit_ceiling_1000,hit_ceiling_3000,hit_ceiling_5000
baseline_config2,10,472139.3512379936,425800.44052951597,0.0,10.0,100.0,100.0,100.0,100.0
adx_filtre,10,435838.56838224287,394021.7193507207,0.0,10.0,100.0,100.0,100.0,100.0
rrtp1_sizing,10,456972.3046883383,417905.11794226745,0.0,10.0,100.0,100.0,100.0,100.0
